2308.TW,High,Low,Open,Close,d_Close,RSI9,RSI15,MA5,MA20,MA60,d_CO,d_HL,Adj_Close,Volume,VA/D,d_VA/D,%R8,%R21,DIF,DEM,d_MA5/20
2002-10-31,39.9438,38.9949,38.9949,39.4262,0.6038,0.565791681284,0.699306934706,39.52976,37.64902,40.0574516667,0.4313,0.9489,21.3724,6.0127,-1025.39461979,-0.546839508905,-0.526339871275,-0.384646248495,0.318082030595,-0.024558514715,1.88074
2002-11-01,40.7203,39.6851,39.9438,39.7713,0.3451,0.565791681284,0.759131560467,39.42624,37.812935,40.0272566667,-0.1725,1.0352,21.5595,15.3108,-1038.15559181,-12.7609720247,-0.605252722448,-0.442311978958,0.37017943066,0.05438907436,1.613305
2002-11-04,41.3241,39.9438,41.3241,40.5478,0.7765,0.611771765219,0.764294821905,39.6678,38.00705,39.9927483333,-0.7763,1.3803,21.9804,10.728,-1039.49474591,-1.33915409694,0.0,-0.346150416834,0.454950277654,0.134501315019,1.66075
2002-11-05,41.583,40.2027,41.0654,41.4105,0.8627,0.514711397498,0.731714902319,39.99564,38.35214,39.97837,0.3451,1.3803,22.4481,15.916,-1027.5568811,11.937864812,0.0,-0.326935936873,0.560917747206,0.219784601456,1.6435
2002-11-06,42.5321,41.0654,41.583,42.0144,0.6039,0.560006800513,0.720348140435,40.63404,38.71448,39.9596783333,0.4314,1.4667,22.7755,15.5052,-1022.99739875,4.55948234813,-0.142857142857,-0.526323816496,0.697768411417,0.315381363448,1.91956
2002-11-07,42.5321,41.4105,42.2732,41.8419,-0.1725,0.636381199944,0.70339990373,41.11718,39.08114,39.9237333333,-0.4313,1.1216,22.682,12.0786,-1025.78443663,-2.78703787446,-0.571428571429,-0.763146656906,0.797037810313,0.411712652821,2.03604
2002-11-08,41.7556,40.2889,41.4105,40.4614,-1.3805,0.591539868086,0.588707641972,41.2552,39.42191,39.85759,-0.9491,1.4667,21.9336,11.4853,-1034.56814223,-8.78370560442,-1.0,-1.0,0.772813404202,0.483932803097,1.83329
2002-11-11,40.4614,39.2537,40.3752,39.34,-1.1214,0.468357959297,0.518799351566,41.01364,39.68073,39.7583783333,-1.0352,1.2077,21.3257,6.3703,-1040.02802261,-5.45988037592,-0.884495363766,-0.930159842583,0.6538437025,0.517914982978,1.33291
2002-11-12,40.4614,38.8224,38.8224,40.4614,1.1214,0.617275823578,0.561642530488,40.82382,39.87915,39.699425,1.639,1.639,21.9336,7.548,-1032.48002261,7.548,0.0,-0.325615245694,0.589309392591,0.532193864901,0.94467
2002-11-13,40.8065,39.2537,40.4614,40.0302,-0.4312,0.54431271276,0.443550121061,40.42698,40.00425,39.6476633333,-0.4312,1.5528,21.6998,5.2306,-1032.47934891,0.000673699124217,-0.62056836804,-0.74411019462,0.530317447305,0.531818581382,0.42273
2002-11-14,40.5478,39.0811,40.3752,39.0811,-0.9491,0.453485551003,0.407403273171,39.87482,40.073265,39.5800833333,-1.2941,1.4667,21.1854,7.0074,-1039.48674891,-7.0074,-0.827571046005,-0.883713407731,0.431597918124,0.51177444873,-0.198445
2002-11-15,40.1164,39.5125,40.1164,39.7713,0.6902,0.447053689536,0.477273126438,39.7368,40.133655,39.5240066667,-0.3451,0.6039,21.5595,5.4438,-1040.26469218,-0.777943268753,-0.172349014749,-0.441829748234,0.376864407589,0.484792440502,-0.396855
2002-11-18,40.1164,39.1675,39.8576,39.4262,-0.3451,0.354423136179,0.503996809971,39.75404,40.159535,39.4621783333,-0.4314,0.9489,21.3724,6.04,-1043.01130404,-2.74661186637,-0.586154522563,-0.720901396302,0.309042262213,0.449642404844,-0.405495
